,text,label,text_token,text_string,text_string_fdist,text_string_lem
0,so there is no way for me to plug it in here in the us unless i go by a converter,0,"['way', 'plug', 'us', 'unless', 'go', 'converter']",way plug unless converter,way plug unless converter,way plug unless converter
1,good case excellent value,1,"['good', 'case', 'excellent', 'value']",good case excellent value,good case excellent value,good case excellent value
2,great for the jawbone,1,"['great', 'jawbone']",great jawbone,great jawbone,great jawbone
3,tied to charger for conversations lasting more than 45 minutesmajor problems,0,"['tied', 'charger', 'conversations', 'lasting', '45', 'minutesmajor', 'problems']",tied charger conversations lasting minutesmajor problems,tied charger conversations lasting minutesmajor problems,tied charger conversations lasting minutesmajor problems
4,the mic is great,1,"['mic', 'great']",mic great,mic great,mic great
5,i have to jiggle the plug to get it to line up right to get decent volume,0,"['jiggle', 'plug', 'get', 'line', 'right', 'get', 'decent', 'volume']",jiggle plug get line right get decent volume,jiggle plug get line right get decent volume,jiggle plug get line right get decent volume
6,if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one,0,"['several', 'dozen', 'several', 'hundred', 'contacts', 'imagine', 'fun', 'sending', 'one', 'one']",several dozen several hundred contacts imagine fun sending one one,several dozen several hundred contacts imagine fun sending one one,several dozen several hundred contacts imagine fun sending one one
7,if you are razr owneryou must have this,1,"['razr', 'owneryou', 'must']",razr owneryou must,razr owneryou must,razr owneryou must
8,needless to say i wasted my money,0,"['needless', 'say', 'wasted', 'money']",needless say wasted money,needless say wasted money,needless say wasted money
9,what a waste of money and time,0,"['waste', 'money', 'time']",waste money time,waste money time,waste money time
10,and the sound quality is great,1,"['sound', 'quality', 'great']",sound quality great,sound quality great,sound quality great
11,he was very impressed when going from the original battery to the extended battery,1,"['impressed', 'going', 'original', 'battery', 'extended', 'battery']",impressed going original battery extended battery,impressed going original battery extended battery,impressed going original battery extended battery
12,if the two were seperated by a mere 5+ ft i started to notice excessive static and garbled sound from the headset,0,"['two', 'seperated', 'mere', '5', 'ft', 'started', 'notice', 'excessive', 'static', 'garbled', 'sound', 'headset']",two seperated mere started notice excessive static garbled sound headset,two seperated mere started notice excessive static garbled sound headset,two seperated mere started notice excessive static garbled sound headset
13,very good quality though,1,"['good', 'quality', 'though']",good quality though,good quality though,good quality though
14,the design is very odd as the ear clip is not very comfortable at all,0,"['design', 'odd', 'ear', 'clip', 'comfortable']",design odd ear clip comfortable,design odd ear clip comfortable,design odd ear clip comfortable
15,highly recommend for any one who has a blue tooth phone,1,"['highly', 'recommend', 'one', 'blue', 'tooth', 'phone']",highly recommend one blue tooth phone,highly recommend one blue tooth phone,highly recommend one blue tooth phone
16,i advise everyone do not be fooled,0,"['advise', 'everyone', 'fooled']",advise everyone fooled,advise everyone fooled,advise everyone fooled
17,so far so good,1,"['far', 'good']",far good,far good,far good
18,works great,1,"['works', 'great']",works great,works great,works great
19,it clicks into place in a way that makes you wonder how long that mechanism would last,0,"['clicks', 'place', 'way', 'makes', 'wonder', 'long', 'mechanism', 'would', 'last']",clicks place way makes wonder long mechanism would last,clicks place way makes wonder long mechanism would last,clicks place way makes wonder long mechanism would last
20,i went on motorola's website and followed all directions but could not get it to pair again,0,"['went', 'motorola', 'website', 'followed', 'directions', 'could', 'get', 'pair']",went motorola website followed directions could get pair,went motorola website followed directions could get pair,went motorola website followed directions could get pair
21,i bought this to use with my kindle fire and absolutely loved it,1,"['bought', 'use', 'kindle', 'fire', 'absolutely', 'loved']",bought use kindle fire absolutely loved,bought use kindle fire absolutely loved,bought use kindle fire absolutely loved
22,the commercials are the most misleading,0,"['commercials', 'misleading']",commercials misleading,commercials misleading,commercials misleading
23,i have yet to run this new battery below two bars and that's three days without charging,1,"['yet', 'run', 'new', 'battery', 'two', 'bars', 'three', 'days', 'without', 'charging']",yet run new battery two bars three days without charging,yet run new battery two bars three days without charging,yet run new battery two bars three days without charging
24,i bought it for my mother and she had a problem with the battery,0,"['bought', 'mother', 'problem', 'battery']",bought mother problem battery,bought mother problem battery,bought mother problem battery
25,great pocket pc / phone combination,1,"['great', 'pocket', 'pc', 'phone', 'combination']",great pocket phone combination,great pocket phone combination,great pocket phone combination
26,i've owned this phone for 7 months now and can say that it's the best mobile phone i've had,1,"['owned', 'phone', '7', 'months', 'say', 'best', 'mobile', 'phone']",owned phone months say best mobile phone,owned phone months say best mobile phone,owned phone months say best mobile phone
27,i didn't think that the instructions provided were helpful to me,0,"['think', 'instructions', 'provided', 'helpful']",think instructions provided helpful,think instructions provided helpful,think instructions provided helpful
28,people couldnt hear me talk and i had to pull out the earphone and talk on the phone,0,"['people', 'couldnt', 'hear', 'talk', 'pull', 'earphone', 'talk', 'phone']",people couldnt hear talk pull earphone talk phone,people couldnt hear talk pull earphone talk phone,people couldnt hear talk pull earphone talk phone
29,doesn't hold charge,0,"['hold', 'charge']",hold charge,hold charge,hold charge
30,this is a simple little phone to use but the breakage is unacceptible,0,"['simple', 'little', 'phone', 'use', 'breakage', 'unacceptible']",simple little phone use breakage unacceptible,simple little phone use breakage unacceptible,simple little phone use breakage unacceptible
31,this product is ideal for people like me whose ears are very sensitive,1,"['product', 'ideal', 'people', 'like', 'whose', 'ears', 'sensitive']",product ideal people like whose ears sensitive,product ideal people like whose ears sensitive,product ideal people like whose ears sensitive
32,it is unusable in a moving car at freeway speed,0,"['unusable', 'moving', 'car', 'freeway', 'speed']",unusable moving car freeway speed,unusable moving car freeway speed,unusable moving car freeway speed
33,i have two more years left in this contract and i hate this phone,0,"['two', 'years', 'left', 'contract', 'hate', 'phone']",two years left contract hate phone,two years left contract hate phone,two years left contract hate phone
34,car charger as well as ac charger are included to make sure you never run out of juicehighy recommended,1,"['car', 'charger', 'well', 'ac', 'charger', 'included', 'make', 'sure', 'never', 'run', 'juicehighy', 'recommended']",car charger well charger included make sure never run juicehighy recommended,car charger well charger included make sure never run juicehighy recommended,car charger well charger included make sure never run juicehighy recommended
35,you need at least 3 mins to get to your phone book from the time you first turn on the phonebattery life is short,0,"['need', 'least', '3', 'mins', 'get', 'phone', 'book', 'time', 'first', 'turn', 'phonebattery', 'life', 'short']",need least mins get phone book time first turn phonebattery life short,need least mins get phone book time first turn phonebattery life short,need least mins get phone book time first turn phonebattery life short
36,it has kept up very well,1,"['kept', 'well']",kept well,kept well,kept well
37,poor talk time performance,0,"['poor', 'talk', 'time', 'performance']",poor talk time performance,poor talk time performance,poor talk time performance
38,the case is great and works fine with the 680,1,"['case', 'great', 'works', 'fine', '680']",case great works fine 680,case great works fine 680,case great works fine 680
39,worthless product,0,"['worthless', 'product']",worthless product,worthless product,worthless product
40,it has a great camera thats 2mp and the pics are nice and clear with great picture quality,1,"['great', 'camera', 'thats', '2mp', 'pics', 'nice', 'clear', 'great', 'picture', 'quality']",great camera thats 2mp pics nice clear great picture quality,great camera thats 2mp pics nice clear great picture quality,great camera thats 2mp pics nice clear great picture quality
41,i was not impressed by this product,0,"['impressed', 'product']",impressed product,impressed product,impressed product
